ko_number	fasta_header	locus_tag	tf_name	tf_description	family	subtype	type
K00375	lcl|FQ312003.1_prot_CBW18885.1_2793	SL1344_2787	K00375	GntR family transcriptional regulator / MocR family aminotransferase	GntR family	Helix-turn-helix	Prokaryotic type
K00558	lcl|FQ312003.1_prot_CBW18015.1_1920	SL1344_1920	DNMT1, dcm	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	CXXC CpG-binding proteins	Zinc finger	Eukaryotic type
K01420	lcl|FQ312003.1_prot_CBW17686.1_1590	SL1344_1591	fnr	CRP/FNR family transcriptional regulator, anaerobic regulatory protein	CRP/FNR family	Helix-turn-helix	Prokaryotic type
K02019	lcl|FQ312003.1_prot_CBW16854.1_755	SL1344_0756	modE	molybdate transport system regulatory protein	Other families	Helix-turn-helix	Prokaryotic type
K02099	lcl|FQ312003.1_prot_CBW16207.1_106	SL1344_0104	araC	AraC family transcriptional regulator, arabinose operon regulatory protein	AraC family	Helix-turn-helix	Prokaryotic type
K02430	lcl|FQ312003.1_prot_CBW19058.1_2966	SL1344_2959	fucR	DeoR family transcriptional regulator, L-fucose operon activator	DeoR family	Helix-turn-helix	Prokaryotic type
K02436	lcl|FQ312003.1_prot_CBW19331.1_3240	SL1344_3235	gatR	DeoR family transcriptional regulator, galactitol utilization operon repressor	DeoR family	Helix-turn-helix	Prokaryotic type
K02444	lcl|FQ312003.1_prot_3494	SL1344_3489	glpR	DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor	DeoR family	Helix-turn-helix	Prokaryotic type
K02468	lcl|FQ312003.1_prot_CBW18915.1_2823	SL1344_2817	srlR, gutR	DeoR family transcriptional regulator, glucitol operon repressor	DeoR family	Helix-turn-helix	Prokaryotic type
K02508	lcl|FQ312003.1_prot_CBW17143.1_1044	SL1344_1047	hpaA	AraC family transcriptional regulator, 4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein	AraC family	Helix-turn-helix	Prokaryotic type
K02521	lcl|FQ312003.1_prot_CBW19957.1_3869	SL1344_3868	ilvY	LysR family transcriptional regulator, positive regulator for ilvC	LysR family	Helix-turn-helix	Prokaryotic type
K02529	lcl|FQ312003.1_prot_CBW17580.1_1484	SL1344_1485	lacI, galR	LacI family transcriptional regulator	LacI family	Helix-turn-helix	Prokaryotic type
K02529	lcl|FQ312003.1_prot_CBW18264.1_2170	SL1344_2168	lacI, galR	LacI family transcriptional regulator	LacI family	Helix-turn-helix	Prokaryotic type
K02529	lcl|FQ312003.1_prot_CBW19088.1_2996	SL1344_2989	lacI, galR	LacI family transcriptional regulator	LacI family	Helix-turn-helix	Prokaryotic type
K02529	lcl|FQ312003.1_prot_CBW19720.1_3630	SL1344_3627	lacI, galR	LacI family transcriptional regulator	LacI family	Helix-turn-helix	Prokaryotic type
K02529	lcl|FQ312003.1_prot_CBW19944.1_3855	SL1344_3853	lacI, galR	LacI family transcriptional regulator	LacI family	Helix-turn-helix	Prokaryotic type
K02562	lcl|FQ312003.1_prot_CBW19745.1_3655	SL1344_3652	mtlR	mannitol operon repressor	Others	Other transcription factors	Prokaryotic type
K02565	lcl|FQ312003.1_prot_CBW16763.1_663	SL1344_0664	nagC	N-acetylglucosamine repressor	Others	Other transcription factors	Prokaryotic type
K02647	lcl|FQ312003.1_prot_CBW16313.1_213	SL1344_0211	cdaR	carbohydrate diacid regulator	Other families	Helix-turn-helix	Prokaryotic type
K02688	lcl|FQ312003.1_prot_CBW16462.1_362	SL1344_0362	prpR	transcriptional regulator, propionate catabolism operon regulatory protein	Other families	Helix-turn-helix	Prokaryotic type
K02854	lcl|FQ312003.1_prot_CBW20087.1_4000	SL1344_3998	rhaR	AraC family transcriptional regulator, L-rhamnose operon transcriptional activator RhaR	AraC family	Helix-turn-helix	Prokaryotic type
K02855	lcl|FQ312003.1_prot_CBW20086.1_3999	SL1344_3997	rhaS	AraC family transcriptional regulator, L-rhamnose operon regulatory protein RhaS	AraC family	Helix-turn-helix	Prokaryotic type
K03402	lcl|FQ312003.1_prot_CBW19428.1_3338	SL1344_3332	argR, ahrC	transcriptional regulator of arginine metabolism	Others	Other transcription factors	Prokaryotic type
K03402	lcl|FQ312003.1_prot_CBW20481.1_4395	SL1344_4393	argR, ahrC	transcriptional regulator of arginine metabolism	Others	Other transcription factors	Prokaryotic type
K03435	lcl|FQ312003.1_prot_CBW16221.1_121	SL1344_0118	fruR1, fruR	LacI family transcriptional regulator, fructose operon transcriptional repressor	LacI family	Helix-turn-helix	Prokaryotic type
K03477	lcl|FQ312003.1_prot_CBW20400.1_4314	SL1344_4314	ulaR	DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor	DeoR family	Helix-turn-helix	Prokaryotic type
K03485	lcl|FQ312003.1_prot_CBW20474.1_4388	SL1344_4386	treR	LacI family transcriptional regulator, trehalose operon repressor	LacI family	Helix-turn-helix	Prokaryotic type
K03490	lcl|FQ312003.1_prot_CBW17346.1_1247	SL1344_1250	chbR, celD	AraC family transcriptional regulator, dual regulator of chb operon	AraC family	Helix-turn-helix	Prokaryotic type
K03497	lcl|HE654725.1_prot_CCF76845.1_4566	SL1344_P2_0036	parB, spo0J	ParB family transcriptional regulator, chromosome partitioning protein	Others	Other transcription factors	Prokaryotic type
K03497	lcl|HE654724.1_prot_CCF76745.1_4680	SL1344_P1_0039	parB, spo0J	ParB family transcriptional regulator, chromosome partitioning protein	Others	Other transcription factors	Prokaryotic type
K03497	lcl|HE654724.1_prot_CCF76760.1_4695	SL1344_P1_0054	parB, spo0J	ParB family transcriptional regulator, chromosome partitioning protein	Others	Other transcription factors	Prokaryotic type
K03524	lcl|FQ312003.1_prot_CBW20170.1_4083	SL1344_4082	birA	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	Other families	Helix-turn-helix	Prokaryotic type
K03556	lcl|FQ312003.1_prot_CBW19577.1_3487	SL1344_3482	malT	LuxR family transcriptional regulator, maltose regulon positive regulatory protein	LuxR family	Helix-turn-helix	Prokaryotic type
K03557	lcl|FQ312003.1_prot_CBW19453.1_3363	SL1344_3358	fis	Fis family transcriptional regulator, factor for inversion stimulation protein	Other families	Helix-turn-helix	Prokaryotic type
K03566	lcl|FQ312003.1_prot_CBW19061.1_2969	SL1344_2962	gcvA	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	LysR family	Helix-turn-helix	Prokaryotic type
K03567	lcl|FQ312003.1_prot_CBW18555.1_2463	SL1344_2453	gcvR	glycine cleavage system transcriptional repressor	Others	Other transcription factors	Prokaryotic type
K03576	lcl|FQ312003.1_prot_CBW20009.1_3921	SL1344_3918	metR	LysR family transcriptional regulator, regulator for metE and metH	LysR family	Helix-turn-helix	Prokaryotic type
K03577	lcl|FQ312003.1_prot_CBW16571.1_471	SL1344_0470	acrR, smeT	TetR/AcrR family transcriptional regulator, acrAB operon repressor	TetR/AcrR family	Helix-turn-helix	Prokaryotic type
K03603	lcl|FQ312003.1_prot_CBW17828.1_1733	SL1344_1733	fadR	GntR family transcriptional regulator, negative regulator for fad regulon and positive regulator of fabA	GntR family	Helix-turn-helix	Prokaryotic type
K03604	lcl|FQ312003.1_prot_CBW17458.1_1359	SL1344_1362	purR	LacI family transcriptional regulator, purine nucleotide synthesis repressor	LacI family	Helix-turn-helix	Prokaryotic type
