# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	169	255	+	CBW16102.1			thr operon leader peptide	thrL		SL1344_0001	87	28.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	337	2799	+	CBW16103.1			aspartokinase I/homoserine dehydrogenase I	thrA		SL1344_0002	2463	820.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2801	3730	+	CBW16104.1			Homoserine kinase	thrB		SL1344_0003	930	309.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	3734	5020	+	CBW16105.1			threonine synthase	thrC		SL1344_0004	1287	428.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	5114	5887	-	CBW16106.1			conserved hypothetical protein	yaaA		SL1344_0005	774	257.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	5966	7396	-	CBW16107.1			hypothetical amino-acid transport protein	yaaJ		SL1344_0006	1431	476.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	7665	8618	+	CBW16108.1			transaldolase B	talB		SL1344_0007	954	317.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	8729	9319	+	CBW16109.1			molybdopterin biosynthesis Mog protein	mog		SL1344_0008	591	196.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	9376	9942	-	CBW16110.1			conserved hypothetical protein	yaaH		SL1344_0009	567	188.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	10092	10805	-	CBW16111.1			conserved hypothetical protein	htgA		SL1344_0010	714	237.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	10841	11245	-	CBW16112.1			conserved hypothetical protein	yaaI		SL1344_0011	405	134.0	
